"","age_group","attend_day_or_evening","attending_germantown","attending_rockville","attending_takoma_park_ss","city_in_md","county_in_md","ethnicity","fall_term","gender","hs_category","mc_program_description","mcps_high_school","race","state","student_status","student_type","zip"
"905","30 or Older","Day Only","No","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Springbrook Sr High School","White","MD","Part-Time","Continuing",20878
"906","21 - 24","Day Only","No","No","Yes","Burtonsville","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Health Sciences (Pre-Clinical Studies)","","Black","MD","Full-Time","Continuing",20866
"907","21 - 24","Day Only","No","No","Yes","Burtonsville","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Health Sciences (Pre-Clinical Studies)","","Black","MD","Full-Time","Continuing",20866
"908","30 or Older","Day Only","No","No","Yes","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Nursing (AA & AAS)","","White","MD","Part-Time","Continuing",20879
"909","21 - 24","Day & Evening","Yes","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Female","MCPS","Business / International Business (AA)","Seneca Valley High School","Black","MD","Full-Time","Continuing",20874
"910","20 or Younger","Day Only","No","No","Yes","Cheverly","Prince George's","Not Hispanic",2015,"Male","Other State","Business / International Business (AA)","","Asian","MD","Part-Time","Continuing",20785
"911","21 - 24","Day Only","Yes","No","No","Gaithersburg","Montgomery","Hispanic",2015,"Female","MCPS","Arts & Sciences Transfer (AA - All Tracks)","Gaithersburg High School","Hispanic","MD","Part-Time","Continuing",20877
"912","20 or Younger","Day Only","No","Yes","No","Washington","Other","Not Hispanic",2015,"Male","Other State","Accounting (AA & AAS)","","Asian","DC","Full-Time","New",20001
"913","20 or Younger","Day Only","No","No","Yes","Hyattsville","Prince George's","Hispanic",2015,"Female","Other Maryland","General Studies (AA - All Tracks)","","Native American","MD","Part-Time","New",20782
"914","21 - 24","Evening Only","No","Yes","No","Potomac","Montgomery","Hispanic",2015,"Female","Foreign Country","Credit (Undeclared / Undecided)","","Hispanic","MD","Part-Time","Continuing",20854
"915","30 or Older","Day Only","No","No","Yes","Upper Marlboro","Prince George's","Not Hispanic",2015,"Female","Other State","Nursing (AA & AAS)","","Black","MD","Part-Time","Continuing",20774
"916","30 or Older","Day Only","Yes","No","No","Rockville","Montgomery","Not Hispanic",2015,"Male","MCPS","Cybersecurity (AAS)","Thomas Sprigg Wootton High Sch","White","MD","Part-Time","Continuing",20850
"917","20 or Younger","Day & Evening","Yes","No","No","Germantown","Montgomery","Not Hispanic",2015,"Male","Other State","General Studies (AA - All Tracks)","","White","MD","Part-Time","Continuing",20874
"918","21 - 24","Evening Only","No","No","Yes","Chevy Chase","Montgomery","Not Hispanic",2015,"Female","Other State","General Studies (AA - All Tracks)","","White","MD","Part-Time","HS Student",20815
"919","25 - 29","Day Only","Yes","No","No","Potomac","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Winston Churchill High School","Asian","MD","Part-Time","Continuing",20854
"920","20 or Younger","Day Only","Yes","No","No","Germantown","Montgomery","Hispanic",2015,"Male","MCPS","Computer Science & Technologies (AA - All Tracks)","Northwest HS - Germantown","Native American","MD","Full-Time","Continuing",20874
"921","25 - 29","Day & Evening","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Walter Johnson High School","White","MD","Full-Time","Continuing",20852
"922","20 or Younger","Day & Evening","Yes","Yes","No","Germantown","Montgomery","Hispanic",2015,"Male","Other State","Science (AS - All Tracks)","","White","MD","Full-Time","Transfer no degree",20874
"923","30 or Older","Day & Evening","Yes","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Female","GED","Health Sciences (Pre-Clinical Studies)","","Black","MD","Full-Time","Continuing",20874
"924","20 or Younger","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Other State","Science (AS - All Tracks)","","Black","MD","Part-Time","New",20905
"925","20 or Younger","Day Only","No","No","Yes","Silver Spring","Montgomery","Hispanic",2015,"Female","MCPS","Health Sciences (Pre-Clinical Studies)","Sherwood High School","White","MD","Part-Time","Continuing",20904
"926","30 or Older","Day Only","No","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Health Sciences (Pre-Clinical Studies)","","Black","MD","Part-Time","Continuing",20878
"927","20 or Younger","Day Only","Yes","Yes","No","Montgomery Village","Montgomery","Not Hispanic",2015,"Female","MCPS","Business / International Business (AA)","Gaithersburg High School","White","MD","Full-Time","Continuing",20886
"928","20 or Younger","Day Only","No","Yes","No","Beltsville","Prince George's","Not Hispanic",2015,"Male","Other Maryland","Computer Science & Technologies (AA - All Tracks)","","Black","MD","Part-Time","Continuing",20705
"929","25 - 29","Day & Evening","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Polysomnography Technology (CT)","","Black","MD","Part-Time","Continuing",20904
"930","20 or Younger","Day Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Male","MCPS","Engineering Science (AA & AS - All Tracks)","Wheaton High School","Black","MD","Part-Time","New",20853
"931","20 or Younger","Day & Evening","Yes","No","No","Germantown","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Northwest HS - Germantown","Black","MD","Part-Time","Continuing",20874
"932","25 - 29","Day Only","No","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Credit (Undeclared / Undecided)","","Asian","MD","Part-Time","Continuing",20874
"933","20 or Younger","Day Only","Yes","No","No","Germantown","Montgomery","Not Hispanic",2015,"Male","Other State","Business / International Business (AA)","","Black","MD","Full-Time","New",20874
"934","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Hispanic",2015,"Female","MCPS","Business / International Business (AA)","Albert Einstein HS & MC Art Cn","White","MD","Full-Time","New",20902
"935","20 or Younger","Day & Evening","No","No","Yes","Silver Spring","Montgomery","Hispanic",2015,"Female","MCPS","Health Sciences (Pre-Clinical Studies)","Wheaton High School","White","MD","Full-Time","New",20906
"936","20 or Younger","Day Only","Yes","No","No","Germantown","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Clarksburg High School","Black","MD","Full-Time","Continuing",20876
"937","30 or Older","Day & Evening","Yes","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Engineering Science (AA & AS - All Tracks)","","Black","MD","Full-Time","Continuing",20877
"938","20 or Younger","Day Only","Yes","No","No","Germantown","Montgomery","Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Northwest HS - Germantown","Multi-Race","MD","Part-Time","HS Student",20874
"939","20 or Younger","Day Only","No","No","Yes","Washington","Other","Hispanic",2015,"Female","Other State","General Studies (AA - All Tracks)","","Native American","DC","Part-Time","New",20009
"940","21 - 24","Day & Evening","No","Yes","Yes","Takoma Park","Montgomery","Not Hispanic",2015,"Female","Other State","Science (AS - All Tracks)","","Black","MD","Full-Time","Continuing",20912
"941","25 - 29","Day & Evening","Yes","Yes","Yes","Washington","Other","Not Hispanic",2015,"Female","Other State","Paralegal Studies (AA & AAS)","","Black","DC","Full-Time","Continuing",20012
"942","20 or Younger","Day Only","No","No","Yes","Washington","Other","Hispanic",2015,"Female","Other State","General Studies (AA - All Tracks)","","Black","DC","Part-Time","Continuing",20011
"943","21 - 24","Day Only","Yes","No","Yes","Rockville","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Thomas Sprigg Wootton High Sch","White","MD","Part-Time","Continuing",20850
"944","30 or Older","Evening Only","No","Yes","Yes","Rockville","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Science (AS - All Tracks)","","White","MD","Part-Time","Continuing",20851
"945","20 or Younger","Day Only","No","Yes","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","MCPS","Education / Teacher Education (AA & AAT)","Bethesda Chevy Chase High Schl","Multi-Race","MD","Full-Time","Continuing",20910
"946","21 - 24","Day Only","Yes","No","No","Germantown","Montgomery","Not Hispanic",2015,"Male","MCPS","Business / International Business (AA)","Clarksburg High School","Black","MD","Part-Time","Continuing",20874
"947","21 - 24","Day Only","No","Yes","Yes","Rockville","Montgomery","Hispanic",2015,"Female","GED","General Studies (AA - All Tracks)","","White","MD","Full-Time","New",20850
"948","21 - 24","Day & Evening","No","Yes","No","Derwood","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Colonel Zadok Magruder HS","Asian","MD","Part-Time","Continuing",20855
"949","21 - 24","No Specific Time[online]","No","No","Yes","Washington","Other","Unknown",2015,"Female","Other State","Paralegal Studies (AA & AAS)","","Black","DC","Part-Time","Continuing",20011
"950","21 - 24","Day Only","Yes","Yes","No","Rockville","Montgomery","Hispanic",2015,"Female","Other State","General Studies (AA - All Tracks)","","Hispanic","MD","Full-Time","Continuing",20852
"951","20 or Younger","Day Only","Yes","Yes","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Mont.County Other","General Studies (AA - All Tracks)","","Asian","MD","Full-Time","Continuing",20901
"952","20 or Younger","Day Only","No","Yes","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","Architectural & Construction Tech (AA & AAS)","James Hubert Blake High School","Black","MD","Part-Time","Continuing",20904
"953","20 or Younger","Day & Evening","Yes","No","No","Gaithersburg","Montgomery","Hispanic",2015,"Male","MCPS","Arts & Sciences Transfer (AA - All Tracks)","Clarksburg High School","White","MD","Part-Time","New",20882
"954","21 - 24","Day & Evening","No","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Seneca Valley High School","White","MD","Part-Time","Continuing",20874
"955","20 or Younger","Day Only","Yes","No","No","Clarksburg","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Health Sciences (Pre-Clinical Studies)","","Black","MD","Full-Time","Continuing",20871
"956","20 or Younger","Day Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Male","MCPS","Education / Teacher Education (AA & AAT)","Richard Montgomery High School","Black","MD","Part-Time","New",20850
"957","20 or Younger","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","MCPS","Business / International Business (AA)","James Hubert Blake High School","Black","MD","Part-Time","Continuing",20904
"958","20 or Younger","Day Only","No","No","Yes","Hyattsville","Prince George's","Hispanic",2015,"Female","Other Maryland","Science (AS - All Tracks)","","Hispanic","MD","Part-Time","Continuing",20783
"959","21 - 24","Day & Evening","No","Yes","No","Rockville","Montgomery","Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Walter Johnson High School","White","MD","Part-Time","Continuing",20853
"960","25 - 29","Day & Evening","No","Yes","No","Bethesda","Montgomery","Not Hispanic",2015,"Female","Other State","General Studies (AA - All Tracks)","","White","MD","Part-Time","Continuing",20817
"961","20 or Younger","Day Only","No","Yes","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","Business / International Business (AA)","Northwood High School","White","MD","Part-Time","Continuing",20906
"962","30 or Older","Evening Only","Yes","No","No","Germantown","Montgomery","Not Hispanic",2015,"Female","Other State","General Studies (AA - All Tracks)","","White","MD","Part-Time","Continuing",20876
"963","21 - 24","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","MCPS","Nursing (AA & AAS)","Northwood High School","Black","MD","Part-Time","Continuing",20906
"964","25 - 29","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Arts & Sciences Transfer (AA - All Tracks)","","Asian","MD","Part-Time","New",20906
"965","30 or Older","No Specific Time[online]","No","Yes","Yes","Washington","Other","Hispanic",2015,"Male","Foreign Country","Business / International Business (AA)","","White","DC","Part-Time","Continuing",20008
"966","20 or Younger","Day Only","Yes","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Female","Other State","Arts & Sciences Transfer (AA - All Tracks)","","White","MD","Full-Time","Continuing",20874
"967","21 - 24","Day Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Male","Other State","General Studies (AA - All Tracks)","","White","MD","Part-Time","Continuing",20852
"968","21 - 24","Day Only","No","Yes","Yes","Silver Spring","Montgomery","Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Albert Einstein HS & MC Art Cn","Hispanic","MD","Part-Time","New",20906
"969","20 or Younger","Day Only","Yes","No","No","Germantown","Montgomery","Not Hispanic",2015,"Male","MCPS","Business / International Business (AA)","Northwest HS - Germantown","White","MD","Part-Time","New",20874
"970","25 - 29","Evening Only","Yes","Yes","No","Germantown","Montgomery","Hispanic",2015,"Male","MCPS","Computer Gaming & Simulation (AA - All Tracks)","Northwest HS - Germantown","White","MD","Part-Time","Continuing",20874
"971","21 - 24","Day & Evening","No","Yes","Yes","Bethesda","Montgomery","Hispanic",2015,"Female","Other State","General Studies (AA - All Tracks)","","White","MD","Part-Time","Continuing",20814
"972","30 or Older","Day Only","No","Yes","Yes","Germantown","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Credit (Undeclared / Undecided)","","Black","MD","Part-Time","Continuing",20874
"973","30 or Older","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Foreign Country","General Studies (AA - All Tracks)","","Native American","MD","Part-Time","Continuing",20904
"974","21 - 24","Day & Evening","No","Yes","No","Silver Spring","Montgomery","Hispanic",2015,"Female","MCPS","Early Childhood Education (AA & AAS)","James Hubert Blake High School","Hispanic","MD","Full-Time","Continuing",20905
"975","20 or Younger","Day Only","No","Yes","No","Fort Washington","Prince George's","Not Hispanic",2015,"Female","Other Maryland","Health Sciences (Pre-Clinical Studies)","","Black","MD","Full-Time","New",20744
"976","21 - 24","Day Only","No","Yes","No","Bethesda","Montgomery","Not Hispanic",2015,"Male","Mont.County Other","General Studies (AA - All Tracks)","","White","MD","Part-Time","Continuing",20814
"977","20 or Younger","Day & Evening","No","Yes","No","Germantown","Montgomery","Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Seneca Valley High School","Asian","MD","Full-Time","Transfer no degree",20876
"978","20 or Younger","Evening Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","Engineering Science (AA & AS - All Tracks)","John F. Kennedy High School","White","MD","Part-Time","HS Student",20902
